=== Training Profiling Summary ===

 Count  Overhead File                    Line Function
     1         0 @Base/array.jl          1180 append!
     2         0 @Base/array.jl          1182 append!
     1         0 @Base/array.jl          1183 append!
     5         0 @Base/array.jl           694 collect
     1         0 @Base/array.jl           759 collect
   167         0 @Base/array.jl           834 collect(itr::Base.Generator{Vecto…
  2902         0 @Base/array.jl           844 collect(itr::Base.Generator{Vecto…
  2902         0 @Base/array.jl           892 collect_to!
  2902         0 @Base/array.jl           870 collect_to_with_first!
   195       195 @Base/array.jl           411 copy
     2         0 @Base/array.jl           363 copyto!
   322         0 @Base/array.jl           368 copyto!
     2         0 @Base/array.jl           385 copyto!
   320         0 @Base/array.jl           388 copyto!
    42         0 @Base/array.jl           582 fill
    42         0 @Base/array.jl           584 fill
   562         0 @Base/array.jl           395 fill!
    26         0 @Base/array.jl           448 getindex
     1         0 @Base/array.jl           465 getindex
     3         0 @Base/array.jl           471 getindex
     3         0 @Base/array.jl           975 getindex
     1         0 @Base/array.jl           977 getindex
     2         0 @Base/array.jl          1561 insert!
     1         0 @Base/array.jl           268 isassigned
    44         0 @Base/array.jl           945 iterate
    35        35 @Base/array.jl             ? macro expansion
     2         0 @Base/array.jl          1401 pop!
    16         0 @Base/array.jl          1119 push!
     1         0 @Base/array.jl          1126 push!
     1         0 @Base/array.jl          1481 pushfirst!
     2         2 @Base/array.jl             ? renumber_ssa2!(stmt::Any, ssanums…
     2         2 @Base/array.jl          1021 renumber_ssa2!(stmt::Any, ssanums…
     7         0 @Base/array.jl          1315 resize!
  2245      2244 @Base/array.jl          1021 setindex!
  7940      7940 @Base/array.jl          1024 setindex!
  1860         0 @Base/array.jl           420 similar
     1         1 @Base/array.jl           191 size
     1         1 @Base/array.jl             ? typeinf(interp::Core.Compiler.Nat…
     1         1 @Base/array.jl           334 unsafe_copyto!
   320         0 @Base/array.jl           337 unsafe_copyto!
     1         0 @Base/array.jl           346 unsafe_copyto!
     2         0 @Base/array.jl           353 unsafe_copyto!
     1         0 @Base/array.jl           160 vect
     2         0 @Base/array.jl           632 zeros
  1121         0 @Base/array.jl           633 zeros
   562         0 @Base/array.jl           636 zeros
   561         0 @Base/array.jl           637 zeros
  9138         0 @Base/arraymath.jl        21 *(A::Float64, B::Matrix{Float64})
     1         0 @Base/arrayshow.jl       486 show
     1         0 @Base/arrayshow.jl       515 show_vector
     1         0 @Base/arrayshow.jl       530 show_vector(io::Base.TTY, v::Vect…
     1         0 @Base/bitarray.jl         37 BitArray
     1         0 @Base/bitarray.jl         71 BitArray
     1         0 @Base/bitarray.jl        696 _unsafe_bitsetindex!
     1         0 @Base/bitarray.jl        403 falses
     1         0 @Base/bitarray.jl        405 falses(dims::Tuple{Int64})
    16         2 @Base/bitset.jl           18 BitSet
     2         0 @Base/bitset.jl           29 BitSet
     1         0 @Base/bitset.jl          362 _check0
     1         1 @Base/bitset.jl          363 _check0
     1         0 @Base/bitset.jl          111 _growend0!
     1         0 @Base/bitset.jl           82 _setint!
     1         1 @Base/bitset.jl           83 _setint!
     1         0 @Base/bitset.jl           95 _setint!
     1         0 @Base/bitset.jl          102 _setint!
     2         1 @Base/bitset.jl           44 copy(s1::Core.Compiler.BitSet)
     1         0 @Base/bitset.jl           45 copymutable
     2         0 @Base/bitset.jl          284 isempty
     4         0 @Base/bitset.jl          248 push!
   245       245 @Base/boot.jl            477 Array
  4600      4600 @Base/boot.jl            479 Array
   128         0 @Base/boot.jl            486 Array
  4579         0 @Base/boot.jl            487 Array
    21         0 @Base/boot.jl            492 Array
  2198         0 @Base/boot.jl            494 Array
    14         0 @Base/boot.jl            496 Array
     5         0 @Base/boot.jl            500 Array
     1         1 @Base/boot.jl            445 CodeInstance
   133        11 @Base/boot.jl            602 (::Core.GeneratedFunctionStub)(::…
    21         0 @Base/boot.jl            783 Int32
     1         1 @Base/boot.jl            424 LineInfoNode
    21        21 @Base/boot.jl            656 checked_trunc_sint
215221         0 @Base/boot.jl            385 eval
    21         0 @Base/boot.jl            693 toInt32
  1625         0 @Base/broadcast.jl       675 _broadcast_getindex
  1635         0 @Base/broadcast.jl       681 _broadcast_getindex
  2351         0 @Base/broadcast.jl       682 _broadcast_getindex
  2351         0 @Base/broadcast.jl       709 _broadcast_getindex_evalf
  1635         0 @Base/broadcast.jl       705 _getindex
     2         0 @Base/broadcast.jl       706 _getindex
  9138         0 @Base/broadcast.jl       892 broadcast_preserving_zero_d
  9192         0 @Base/broadcast.jl       928 copy
 11803         0 @Base/broadcast.jl       956 copyto!
   320         0 @Base/broadcast.jl       997 copyto!
 11483         0 @Base/broadcast.jl      1003 copyto!
  3976         0 @Base/broadcast.jl       636 getindex
 11463         0 @Base/broadcast.jl      1004 macro expansion
  9192         0 @Base/broadcast.jl       903 materialize
  4809         0 @Base/broadcast.jl       911 materialize!
  4809         0 @Base/broadcast.jl       914 materialize!
  2198         0 @Base/broadcast.jl       223 similar
  2198         0 @Base/broadcast.jl       224 similar
  1343         0 @Base/cartesian.jl        64 macro expansion
    79         0 @Base/cartesian.jl        66 macro expansion
215221         0 @Base/client.jl          552 _start()
215221         0 @Base/client.jl          318 exec_options(opts::Base.JLOptions)
   320       320 @Base/cmem.jl             26 memmove
     1         0 …ractinterpretation.jl  1587 abstract_apply(interp::Core.Compi…
   333         0 …ractinterpretation.jl  1612 abstract_apply(interp::Core.Compi…
     1         0 …ractinterpretation.jl  1615 abstract_apply(interp::Core.Compi…
  1476         2 …ractinterpretation.jl  2162 abstract_call(interp::Core.Compil…
   115         0 …ractinterpretation.jl  2166 abstract_call(interp::Core.Compil…
     1         0 …ractinterpretation.jl  2168 abstract_call(interp::Core.Compil…
  1476         1 …ractinterpretation.jl  2169 abstract_call(interp::Core.Compil…
     1         0 …ractinterpretation.jl  2353 abstract_call(interp::Core.Compil…
  1476         0 …ractinterpretation.jl  2354 abstract_call(interp::Core.Compil…
     1         1 …ractinterpretation.jl  2355 abstract_call(interp::Core.Compil…
     1         0 …ractinterpretation.jl  2358 abstract_call(interp::Core.Compil…
     1         1 …ractinterpretation.jl  1710 abstract_call_builtin(interp::Cor…
    28         0 …ractinterpretation.jl  1739 abstract_call_builtin(interp::Cor…
     2         2 …ractinterpretation.jl     ? abstract_call_gf_by_type(interp::…
    93         0 …ractinterpretation.jl    24 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl    31 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl    35 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl    39 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl    43 abstract_call_gf_by_type(interp::…
  1474         1 …ractinterpretation.jl    95 abstract_call_gf_by_type(interp::…
   684         0 …ractinterpretation.jl   103 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   120 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl   122 abstract_call_gf_by_type(interp::…
     3         0 …ractinterpretation.jl   126 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   127 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   133 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl   153 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl   166 abstract_call_gf_by_type(interp::…
     3         0 …ractinterpretation.jl   171 abstract_call_gf_by_type(interp::…
    31         0 …ractinterpretation.jl   173 abstract_call_gf_by_type(interp::…
     2         0 …ractinterpretation.jl   188 abstract_call_gf_by_type(interp::…
     1         1 …ractinterpretation.jl  2002 abstract_call_known(interp::Core.…
   333         0 …ractinterpretation.jl  2004 abstract_call_known(interp::Core.…
    25         0 …ractinterpretation.jl  2006 abstract_call_known(interp::Core.…
     2         0 …ractinterpretation.jl  2010 abstract_call_known(interp::Core.…
    30         1 …ractinterpretation.jl  2014 abstract_call_known(interp::Core.…
     6         0 …ractinterpretation.jl  2015 abstract_call_known(interp::Core.…
     1         0 …ractinterpretation.jl  2053 abstract_call_known(interp::Core.…
    55         0 …ractinterpretation.jl  2054 abstract_call_known(interp::Core.…
    13         0 …ractinterpretation.jl  2086 abstract_call_known(interp::Core.…
  1475         1 …ractinterpretation.jl  2087 abstract_call_known(interp::Core.…
     1         1 …ractinterpretation.jl   501 abstract_call_method(interp::Core…
     1         0 …ractinterpretation.jl   511 abstract_call_method(interp::Core…
  1474         0 …ractinterpretation.jl   629 abstract_call_method(interp::Core…
     1         1 …ractinterpretation.jl   653 abstract_call_method(interp::Core…
   684         0 …ractinterpretation.jl   788 abstract_call_method_with_const_a…
    61         0 …ractinterpretation.jl   794 abstract_call_method_with_const_a…
     4         0 …ractinterpretation.jl   804 abstract_call_method_with_const_a…
    43         0 …ractinterpretation.jl   812 abstract_call_method_with_const_a…
   620         0 …ractinterpretation.jl   818 abstract_call_method_with_const_a…
   115         0 …ractinterpretation.jl  2156 abstract_call_unknown(interp::Cor…
     1         1 …ractinterpretation.jl  2876 abstract_eval_basic_statement(int…
     1         1 …ractinterpretation.jl  2881 abstract_eval_basic_statement(int…
  1298         0 …ractinterpretation.jl  2889 abstract_eval_basic_statement(int…
     1         1 …ractinterpretation.jl  2908 abstract_eval_basic_statement(int…
  1475         0 …ractinterpretation.jl  2913 abstract_eval_basic_statement(int…
    11         0 …ractinterpretation.jl  2365 abstract_eval_call(interp::Core.C…
  1476         0 …ractinterpretation.jl  2370 abstract_eval_call(interp::Core.C…
     2         0 …ractinterpretation.jl  2655 abstract_eval_globalref
     2         2 …ractinterpretation.jl  2656 abstract_eval_globalref
     1         0 …ractinterpretation.jl  2665 abstract_eval_globalref(interp::C…
     1         1 …ractinterpretation.jl  2668 abstract_eval_globalref(interp::C…
     4         1 …ractinterpretation.jl  2671 abstract_eval_globalref(interp::C…
     1         1 …ractinterpretation.jl  2276 abstract_eval_special_value
     1         1 …ractinterpretation.jl  2286 abstract_eval_special_value
     6         0 …ractinterpretation.jl  2294 abstract_eval_special_value
     1         1 …ractinterpretation.jl  2296 abstract_eval_special_value
     1         1 …ractinterpretation.jl  2617 abstract_eval_statement(interp::C…
     1         0 …ractinterpretation.jl  2622 abstract_eval_statement(interp::C…
  1476         0 …ractinterpretation.jl  2624 abstract_eval_statement(interp::C…
     2         0 …ractinterpretation.jl  2639 abstract_eval_statement(interp::C…
     1         1 …ractinterpretation.jl  2373 abstract_eval_statement_expr(inte…
  1476         0 …ractinterpretation.jl  2380 abstract_eval_statement_expr(inte…
     1         0 …ractinterpretation.jl  2413 abstract_eval_statement_expr(inte…
     8         0 …ractinterpretation.jl  2308 abstract_eval_value(interp::Core.…
     2         0 …ractinterpretation.jl  1988 abstract_finalizer
    25         0 …ractinterpretation.jl  1947 abstract_invoke(interp::Core.Comp…
     2         0 …ractinterpretation.jl   483 add_call_backedges!(interp::Core.…
     1         0 …ractinterpretation.jl     6 call_result_unused
     3         0 …ractinterpretation.jl  2315 collect_argtypes
     8         0 …ractinterpretation.jl  2317 collect_argtypes
    61        54 …ractinterpretation.jl   909 concrete_eval_call(interp::Core.C…
     1         0 …ractinterpretation.jl   454 conditional_argtype
     9         0 …ractinterpretation.jl  1192 const_prop_call(interp::Core.Comp…
     4         0 …ractinterpretation.jl  1196 const_prop_call(interp::Core.Comp…
    15         0 …ractinterpretation.jl  1201 const_prop_call(interp::Core.Comp…
   609         0 …ractinterpretation.jl  1207 const_prop_call(interp::Core.Comp…
     4         0 …ractinterpretation.jl   249 find_matching_methods(𝕃::Core.Com…
    88         0 …ractinterpretation.jl   288 find_matching_methods(𝕃::Core.Com…
     1         0 …ractinterpretation.jl   295 find_matching_methods(𝕃::Core.Com…
     1         0 …ractinterpretation.jl  1062 force_const_prop
     1         1 …ractinterpretation.jl   326 from_interprocedural!(interp::Cor…
     2         2 …ractinterpretation.jl  2651 isdefined_globalref
     1         1 …ractinterpretation.jl     ? mark_curr_effect_flags!
     3         0 …ractinterpretation.jl  1248 matching_cache_argtypes(𝕃::Core.C…
     1         0 …ractinterpretation.jl  1291 matching_cache_argtypes(𝕃::Core.C…
     1         0 …ractinterpretation.jl   937 maybe_get_const_prop_profitable(i…
     3         0 …ractinterpretation.jl   955 maybe_get_const_prop_profitable(i…
    24         0 …ractinterpretation.jl  1165 semi_concrete_eval_call(interp::C…
    18         0 …ractinterpretation.jl  1168 semi_concrete_eval_call(interp::C…
     1         0 …ractinterpretation.jl  2959 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  2990 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3051 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3064 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3068 typeinf_local(interp::Core.Compil…
  1476         0 …ractinterpretation.jl  3098 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3125 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3126 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3139 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3140 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3154 typeinf_local(interp::Core.Compil…
  1477         0 …ractinterpretation.jl  3186 typeinf_nocycle(interp::Core.Comp…
     1         0 …ractinterpretation.jl  3198 typeinf_nocycle(interp::Core.Comp…
     1         0 …ractinterpretation.jl  2926 update_bbstate!
     1         0 …ractinterpretation.jl  2715 widenreturn
     1         0 …ractinterpretation.jl  2719 widenreturn
     1         0 …ractinterpretation.jl  2772 widenreturn(𝕃ᵢ::Core.Compiler.Con…
     1         0 …ractinterpretation.jl  2812 widenreturn
     1         0 …ractinterpretation.jl  2841 widenreturn
     1         1 …ractinterpretation.jl  2848 widenreturn_consts(rt::Any)
     1         0 …ractinterpretation.jl  2837 widenreturn_partials(𝕃ᵢ::Core.Com…
     1         0 …er/abstractlattice.jl   109 tmeet(::Core.Compiler.JLTypeLatti…
     1         0 …er/abstractlattice.jl   299 tmeet(a::Any, b::Any)
     1         0 …er/abstractlattice.jl   300 tmerge(a::Any, b::Any)
     1         0 …er/abstractlattice.jl   300 tmerge
     2         2 …er/abstractlattice.jl   151 ⊑
     3         3 …e/compiler/cicache.jl    56 get
     1         1 …e/compiler/cicache.jl    13 setindex!
     1         0 …e/compiler/cicache.jl    70 setindex!
     1         1 …/compiler/compiler.jl    54 is_return_type
     1         1 …e/compiler/effects.jl     ? builtin_effects(𝕃::Core.Compiler.…
     1         0 …er/inferenceresult.jl   211 cache_lookup(lattice::Core.Compil…
     2         0 …er/inferenceresult.jl   217 cache_lookup(lattice::Core.Compil…
     6         0 …er/inferenceresult.jl   231 cache_lookup(lattice::Core.Compil…
     1         0 …er/inferenceresult.jl   199 elim_free_typevars
     3         0 …er/inferenceresult.jl    76 is_argtype_match
    15         0 …er/inferenceresult.jl    27 matching_cache_argtypes
     1         0 …er/inferenceresult.jl    28 matching_cache_argtypes
    15         0 …er/inferenceresult.jl   109 most_general_argtypes
     8         8 …er/inferenceresult.jl   111 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   115 most_general_argtypes(method::Met…
     4         1 …er/inferenceresult.jl   151 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   176 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   179 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl    62 pick_const_args!(𝕃::Core.Compiler…
     1         0 …er/inferenceresult.jl    81 va_process_argtypes
     1         1 …er/inferenceresult.jl    90 va_process_argtypes(va_handler!::…
     1         0 …ler/inferencestate.jl    16 BitSetBoundedMinPrioritySet
     1         0 …ler/inferencestate.jl   668 Core.Compiler.IRInterpretationSta…
     1         0 …ler/inferencestate.jl   672 Core.Compiler.IRInterpretationSta…
     1         0 …ler/inferencestate.jl   673 Core.Compiler.IRInterpretationSta…
     4         0 …ler/inferencestate.jl   677 Core.Compiler.IRInterpretationSta…
     1         0 …ler/inferencestate.jl   681 Core.Compiler.IRInterpretationSta…
    10        10 …ler/inferencestate.jl   693 Core.Compiler.IRInterpretationSta…
     6         0 …ler/inferencestate.jl   698 Core.Compiler.IRInterpretationSta…
     8         0 …ler/inferencestate.jl   699 Core.Compiler.IRInterpretationSta…
     1         1 …ler/inferencestate.jl   248 Core.Compiler.InferenceState(resu…
     5         0 …ler/inferencestate.jl   256 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   260 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   261 Core.Compiler.InferenceState(resu…
    33         0 …ler/inferencestate.jl   263 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   265 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   269 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   279 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   283 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   284 Core.Compiler.InferenceState(resu…
     2         0 …ler/inferencestate.jl   302 Core.Compiler.InferenceState(resu…
     3         3 …ler/inferencestate.jl   305 Core.Compiler.InferenceState(resu…
   163         0 …ler/inferencestate.jl   430 Core.Compiler.InferenceState(resu…
    51         0 …ler/inferencestate.jl   433 Core.Compiler.InferenceState(resu…
     1         1 …ler/inferencestate.jl   109 TwoPhaseDefUseMap
     2         0 …ler/inferencestate.jl   127 TwoPhaseDefUseMap
     1         0 …ler/inferencestate.jl   130 TwoPhaseDefUseMap
     2         0 …ler/inferencestate.jl   785 add_backedge!
     1         0 …ler/inferencestate.jl   337 compute_trycatch(code::Vector{Any…
     4         0 …ler/inferencestate.jl   178 get!
     1         0 …ler/inferencestate.jl   868 get_max_methods
     1         0 …ler/inferencestate.jl   876 get_max_methods
     1         0 …ler/inferencestate.jl   889 get_max_methods_for_module
     1         1 …ler/inferencestate.jl   891 get_max_methods_for_module
     1         1 …ler/inferencestate.jl   609 get_stmt_edges!
     1         0 …ler/inferencestate.jl   579 record_ssa_assign!(𝕃ᵢ::Core.Compi…
     1         0 …ler/inferencestate.jl   583 record_ssa_assign!(𝕃ᵢ::Core.Compi…
    90         0 …mpiler/methodtable.jl    74 #findall#281
    33         0 …mpiler/methodtable.jl   113 findall(sig::Type, table::Core.Co…
     1         0 …mpiler/methodtable.jl   116 findall(sig::Type, table::Core.Co…
    58         0 …mpiler/methodtable.jl   119 findall(sig::Type, table::Core.Co…
    88         0 …mpiler/methodtable.jl   105 _findall
     1         1 …mpiler/methodtable.jl   106 _findall
     1         0 …mpiler/methodtable.jl   107 _findall
    90         0 …mpiler/methodtable.jl    73 findall
    92         0 …mpiler/methodtable.jl   110 findall
     1         1 …mpiler/methodtable.jl    15 iterate
     1         0 …/compiler/optimize.jl   379 abstract_eval_ssavalue
   261         0 …/compiler/optimize.jl   337 argextype
     1         1 …/compiler/optimize.jl   339 argextype(x::Any, compact::Core.C…
     5         0 …/compiler/optimize.jl   340 argextype
     1         1 …/compiler/optimize.jl   340 argextype(x::Any, compact::Core.C…
     3         1 …/compiler/optimize.jl   341 argextype(x::Any, compact::Core.C…
     2         2 …/compiler/optimize.jl   344 argextype(x::Any, src::Core.Compi…
     1         1 …/compiler/optimize.jl   347 argextype(x::Any, src::Core.Compi…
     1         0 …/compiler/optimize.jl   363 argextype(x::Any, src::Core.Compi…
   258       258 …/compiler/optimize.jl   367 argextype(x::Any, src::Core.Compi…
     1         0 …/compiler/optimize.jl   369 argextype(x::Any, src::Core.Compi…
     2         0 …/compiler/optimize.jl   526 convert_to_ircode(ci::Core.CodeIn…
    65         0 …/compiler/optimize.jl   531 convert_to_ircode(ci::Core.CodeIn…
     1         0 …/compiler/optimize.jl   567 convert_to_ircode(ci::Core.CodeIn…
     1         0 …/compiler/optimize.jl   570 convert_to_ircode(ci::Core.CodeIn…
     1         0 …/compiler/optimize.jl   596 convert_to_ircode(ci::Core.CodeIn…
     3         0 …/compiler/optimize.jl   602 convert_to_ircode(ci::Core.CodeIn…
     2         0 …/compiler/optimize.jl   608 convert_to_ircode(ci::Core.CodeIn…
     1         1 …/compiler/optimize.jl     ? finish(interp::Core.Compiler.Nati…
     1         0 …/compiler/optimize.jl   445 finish(interp::Core.Compiler.Nati…
     1         0 …/compiler/optimize.jl   755 inline_cost(ir::Core.Compiler.IRC…
    12         0 …/compiler/optimize.jl   176 ir_to_codeinf!
     4         0 …/compiler/optimize.jl   183 ir_to_codeinf!
     8         0 …/compiler/optimize.jl   184 ir_to_codeinf!
   836         0 …/compiler/optimize.jl   453 optimize
     2         0 …/compiler/optimize.jl   454 optimize
   836         1 …/compiler/optimize.jl   489 run_passes(ci::Core.CodeInfo, sv:…
   836         0 …/compiler/optimize.jl   504 run_passes
    15         0 …/compiler/optimize.jl   623 slot2reg(ir::Core.Compiler.IRCode…
    10         0 …/compiler/optimize.jl   624 slot2reg(ir::Core.Compiler.IRCode…
    83         0 …/compiler/optimize.jl   626 slot2reg(ir::Core.Compiler.IRCode…
     1         1 …/compiler/optimize.jl   666 statement_cost(ex::Expr, line::In…
     1         0 …/compiler/optimize.jl   737 statement_or_branch_cost
     1         1 …/compiler/optimize.jl   226 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         2 …/compiler/optimize.jl   232 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         0 …/compiler/optimize.jl   244 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         2 …/compiler/optimize.jl   257 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         0 …/compiler/optimize.jl   261 stmt_effect_flags(𝕃ₒ::Core.Compil…
     1         1 …/compiler/optimize.jl     ? widen_all_consts!(src::Core.CodeI…
     6         5 …/compiler/optimize.jl   193 widen_all_consts!(src::Core.CodeI…
     1         1 …/compiler/optimize.jl   203 widen_all_consts!(src::Core.CodeI…
     1         0 @Base/compiler/sort.jl    68 #searchsortedfirst#277
     1         1 @Base/compiler/sort.jl    74 sort!(v::Vector{Int64}; by::Core.…
     1         1 @Base/compiler/sort.jl     ? compute_basic_blocks(stmts::Vecto…
     1         0 @Base/compiler/sort.jl    66 searchsortedfirst
     1         0 @Base/compiler/sort.jl    68 searchsortedfirst
     6         0 …r/ssair/basicblock.jl    25 BasicBlock
     1         1 …r/ssair/basicblock.jl    14 iterate
     2         2 …iler/ssair/domtree.jl     ? DFS!(D::Core.Compiler.DFSTree, bl…
     1         0 …iler/ssair/domtree.jl   113 DFS!(D::Core.Compiler.DFSTree, bl…
     1         0 …iler/ssair/domtree.jl   137 DFS!(D::Core.Compiler.DFSTree, bl…
     1         0 …iler/ssair/domtree.jl   171 DFS!(D::Core.Compiler.DFSTree, bl…
     4         0 …iler/ssair/domtree.jl   207 DomTreeNode
     1         0 …iler/ssair/domtree.jl   225 GenericDomTree
     1         0 …iler/ssair/domtree.jl   306 SNCA!(domtree::Core.Compiler.Gene…
     6         0 …iler/ssair/domtree.jl   253 compute_domtree_nodes!(domtree::C…
     1         0 …iler/ssair/domtree.jl   257 compute_domtree_nodes!(domtree::C…
     5         0 …iler/ssair/domtree.jl   267 compute_domtree_nodes!(domtree::C…
     1         1 …iler/ssair/domtree.jl   228 construct_domtree(blocks::Vector{…
    19         0 …iler/ssair/domtree.jl   229 construct_domtree(blocks::Vector{…
     1         0 …iler/ssair/domtree.jl   102 copy!(dst::Core.Compiler.DFSTree,…
     5         0 …iler/ssair/domtree.jl   239 update_domtree!
     1         0 …iler/ssair/domtree.jl   246 update_domtree!
    12         0 …iler/ssair/domtree.jl   247 update_domtree!
     1         1 …iler/ssair/domtree.jl   272 update_level!(nodes::Vector{Core.…
     3         0 …iler/ssair/domtree.jl   273 update_level!(nodes::Vector{Core.…
     1         0 …iler/ssair/domtree.jl   274 update_level!(nodes::Vector{Core.…
     1         1 …ompiler/ssair/heap.jl    41 heappop!(xs::Vector{Tuple{Int64, …
     1         0 …ler/ssair/inlining.jl   177 #441
     1         1 …ler/ssair/inlining.jl     ? analyze_method!(match::Core.Metho…
     1         1 …ler/ssair/inlining.jl   950 analyze_method!(match::Core.Metho…
     1         0 …ler/ssair/inlining.jl   980 analyze_method!(match::Core.Metho…
    58         0 …ler/ssair/inlining.jl   981 analyze_method!(match::Core.Metho…
     4         0 …ler/ssair/inlining.jl   822 compileable_specialization(mi::Co…
     3         0 …ler/ssair/inlining.jl  1322 handle_any_const_result!(cases::V…
    12         0 …ler/ssair/inlining.jl  1326 handle_any_const_result!(cases::V…
    65         0 …ler/ssair/inlining.jl  1329 handle_any_const_result!(cases::V…
    11         0 …ler/ssair/inlining.jl  1483 handle_const_prop_result!(cases::…
     1         0 …ler/ssair/inlining.jl  1485 handle_const_prop_result!(cases::…
     4         4 …ler/ssair/inlining.jl  1466 handle_match!(cases::Vector{Core.…
    61         0 …ler/ssair/inlining.jl  1467 handle_match!(cases::Vector{Core.…
     2         0 …ler/ssair/inlining.jl  1508 handle_semi_concrete_result!(case…
     1         0 …ler/ssair/inlining.jl  1510 handle_semi_concrete_result!(case…
     1         1 …ler/ssair/inlining.jl     ? resolve_todo(mi::Core.MethodInsta…
     4         0 …ler/ssair/inlining.jl   904 resolve_todo(mi::Core.MethodInsta…
    63         0 …ler/ssair/inlining.jl   908 resolve_todo(mi::Core.MethodInsta…
     1         1 …ler/ssair/inlining.jl    86 CFGInliningState
     1         0 …ler/ssair/inlining.jl    97 Core.Compiler.CFGInliningState(ir…
     1         1 …ler/ssair/inlining.jl    66 add_inlining_backedge!(::Core.Com…
    61         0 …ler/ssair/inlining.jl   950 analyze_method!
